key_resp.keys,key_resp.rt,practice_taps.keys,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session ,date,expName,psychopyVersion,OS,frameRate,practice_taps.rt,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,block_1/none_t_81_4.wav,timbre,t,none,81.0,1.802900323,17.84380735,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.318570000003092,1.1753249999892432,2.000260000000708,2.8701099999889266,3.8493199999793433,4.553309999988414,5.216264999995474,5.887174999981653,6.483859999978449,7.0055649999994785,7.649204999994254,8.268649999983609,8.769359999976587,9.345309999975143,9.889179999998305,10.454214999976102,11.043779999978142,11.566005000000587,12.099254999979166,12.750734999979613,13.360214999993332,13.99738499999512,14.58612500000163,15.135569999984,15.766319999995176]",space,0.55077,0.0,6.0,6.0,12.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_t_81_3.wav,timbre,t,medium,81.0,1.352794873,13.94617356,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.40746499999659136,0.9237950000097044,1.2859849999949802,1.928075000003446,2.5813149999885354,3.308874999987893,3.924009999987902,4.614594999991823,5.2750100000121165,5.835694999987027,6.526725000003353,7.189400000002934,7.789534999988973,8.42022500000894,9.061810000013793,9.666484999994282,10.309554999985266,10.981490000005579,11.671159999998054,12.197530000004917,12.884335000009742]",space,1.201775,0.0,7.0,7.0,8.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_t_119_3.wav,timbre,t,medium,119.0,2.226222359,10.98477111,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3176699999894481,0.9378250000008848,1.4133699999947567,1.8312849999929313,2.2781749999849126,2.713679999986198,3.147019999974873,3.575844999984838,3.9748949999921024,4.455339999985881,4.87422999998671,5.346669999998994,5.803299999999581,6.249249999993481,6.711989999981597,7.172234999976354,7.598679999995511,8.04119499999797,8.515909999987343,8.989689999987604]",space,0.89027,0.0,8.0,8.0,37.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_t_105_4.wav,timbre,t,none,105.0,1.782068205,15.59785052,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.6889099999971222,1.328110000002198,1.843395000003511,2.4875149999861605,3.1790650000039022,3.8937900000019,4.544564999989234,4.920175000006566,5.475745000003371,6.005145000002813,6.62761500000488,7.179739999992307,7.613359999988461,8.005650000006426,8.523235000000568,9.127424999984214,9.52392000000691,10.043544999993173,10.645790000009583,11.227610000001732,11.726284999982454,12.20272999998997,12.869650000007823,13.325790000002598,13.852610000001732]",space,8.3129,0.0,9.0,9.0,20.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_t_119_3.wav,timbre,t,strong,119.0,1.722630655,12.55029505,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.5264749999914784,2.100059999997029,2.658899999980349,3.160104999988107,3.7422499999811407,4.241909999982454,4.841974999988452,5.311744999984512,6.0351599999994505,6.518160000006901,7.059259999979986,7.597840000002179,8.201169999985723,8.77125999997952,9.316070000000764,9.871205000003101,10.493524999998044,11.029569999984233]",space,5.184395,0.0,10.0,10.0,28.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_t_92_3.wav,timbre,t,none,92.0,1.813425609,13.88349364,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.47390000001178123,1.0012100000167266,1.4362850000034086,1.832075000012992,2.4095950000046287,2.9373450000130106,3.5978400000021793,4.180515000014566,4.843365000007907,5.452945000026375,6.043130000005476,6.710425000026589,7.204275000025518,7.855370000004768,8.50560500001302,9.026595000002999,9.584679999999935,10.252490000013495,10.87673500002711,11.43154499999946,11.927750000002561,12.378390000027139]",space,1.25153,0.0,11.0,11.0,17.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/weak_t_92_3.wav,timbre,t,weak,92.0,1.190820523,16.55263458,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.6488950000202749,1.620615000021644,2.3917099999962375,3.232270000007702,4.022595000016736,4.781184999999823,5.629810000013094,6.32984000002034,7.18343500001356,7.865864999999758,8.642365000006976,9.417955000011716,10.21296999999322,11.072650000016438,11.869724999996834,12.594475000019884,13.541159999993397,14.234309999999823,14.782310000009602,15.59634499999811]",space,3.746645,0.0,12.0,12.0,38.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_t_119_3.wav,timbre,t,none,119.0,1.169893331,12.28885025,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.32052999999723397,1.0250250000099186,1.7408050000085495,2.429675000021234,3.291010000015376,4.004205000004731,4.5645950000034645,5.005215000011958,5.553190000005998,6.142915000003995,6.772170000011101,7.279020000016317,7.881110000016633,8.478980000014417,8.971359999995911,9.476665000023786,9.977375000016764,10.542979999998352,11.155265000008512]",space,0.48539,0.0,13.0,13.0,32.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/weak_t_81_3.wav,timbre,t,weak,81.0,1.53156375,17.80117826,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4315000000060536,1.0925250000145752,1.8976700000057463,2.69400499999756,3.4532300000137184,3.9360349999915343,4.595945000008214,5.200045000005048,6.043234999990091,6.737599999993108,7.488314999995055,8.154195000010077,8.682120000012219,9.238455000013346,9.832800000003772,10.678474999993341,11.637875000014901,12.536885000008624,13.255325000005541,13.997990000003483,14.739020000008168,15.472490000014659,16.29631999999401]",space,1.06429,0.0,14.0,14.0,6.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/weak_t_119_3.wav,timbre,t,weak,119.0,1.729530605,11.14109523,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.35027999998419546,1.3036499999871012,2.0857099999848288,2.810464999987744,3.451374999975087,3.9680249999801163,4.4927999999781605,5.175629999983357,5.833649999985937,6.36019999999553,6.90587499999674,7.366864999989048,8.0832099999825,8.641319999995176,9.120699999999488,9.58871499999077]",space,0.62451,0.0,15.0,15.0,13.0,1.0,,,,,,,,,,,,,
