subject,subcat,coupling,tapsection,mx,sx
PARTICIPANT_kura-A2_2020-09-15_15h15.11.125.csv,regular,strong,5,1.0519508,0.8321287275816904
PARTICIPANT_kura-A2_2020-09-15_15h15.11.125.csv,regular,strong,6,1.330795979,0.708542021
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,strong,0,0.8827430000333333,0.22157807806448684
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,strong,1,1.0276979444333334,0.22040820513588816
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,strong,2,1.0291366666333333,0.15487359921460003
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,strong,3,0.9780657777666666,0.15579891273308125
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,strong,4,1.0064915555,0.16946401851791915
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,strong,5,0.9988812777666668,0.09518565991899677
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,strong,6,1.1111572223333335,0.32703573394096275
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,strong,0,1.5455137977777778,1.8210134833802614
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,strong,1,1.0486598487777778,0.5843082992757296
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,strong,2,0.9194101432592591,0.6955643730382605
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,strong,3,1.350110087074074,1.0472521381343478
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,strong,4,0.88440014768,0.6984809594204652
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,strong,5,1.0519508,0.8321287275816904
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,strong,6,1.330795979,0.708542021
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,strong,0,1.0154862979666666,0.059531091662483195
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,strong,1,0.9962162419999999,0.028856862590427048
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,strong,2,0.9944487108000001,0.0499451575634677
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,strong,3,0.9889900552666666,0.050632654722620185
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,strong,4,1.0031569699999998,0.03858529873860156
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,strong,5,0.9936656815357141,0.03301177811840857
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,strong,6,0.993845167,0.0
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,strong,0,1.0233567469333333,0.15438630362257888
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,strong,1,1.0212944583000003,0.06382841821899608
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,strong,2,0.9937765772333333,0.05427890869688124
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,strong,3,0.9922765955333334,0.036977305804308136
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,strong,4,0.9988077363,0.05036574427570632
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,strong,5,1.0004509959999999,0.03629281818052941
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,strong,6,1.037799,0.0
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,strong,0,0.9888850555,0.0968646062733094
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,strong,1,0.9887336110666666,0.030308002970960538
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,strong,2,0.9976209444666666,0.05042812974482212
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,strong,3,0.9993652777666665,0.041747503681895094
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,strong,4,1.0077381666333334,0.03951567987027366
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,strong,5,0.9933558000799998,0.05512990520334157
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,strong,6,1.0301341665,0.027315568388644657
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,strong,0,0.9600610222,0.09474002128189976
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,strong,1,0.9969474961333334,0.10494089999688563
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,strong,2,1.0007828039,0.08067859465039097
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,strong,3,1.0030873194333334,0.09161710286230838
