subject,coupling,beatsection,mx,sx
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,strong,1,0.9737586968999999,0.04213878987860947
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,strong,2,1.0015943811333334,0.0466924654747981
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,strong,3,1.0013063771428572,0.04627860398650784
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,strong,4,0.9832987718888888,0.0253711195036688
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,strong,5,0.9877851308518517,0.04761520242967335
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,strong,6,0.9928784868888889,0.04183442299897961
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,strong,0,1.0382832612,0.18689157697607303
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,strong,1,1.0163062255333335,0.05665291309071387
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,strong,2,0.9749476185666667,0.12939605135984264
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,strong,3,1.006121666933333,0.05341024234985647
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,strong,4,1.028652717533333,0.1906280334790065
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,strong,5,0.9546448730384616,0.17239156226977437
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,strong,6,1.356084079,0.296497621
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,strong,0,0.9617624764333336,0.13124267620163665
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,strong,1,0.9929973244666666,0.051221445151267
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,strong,2,0.9987504782666666,0.0450481139438258
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,strong,3,0.9967559017,0.06606284597250259
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,strong,4,1.0017196964333333,0.050749721439735725
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,strong,5,0.9946001742000001,0.042175021588599135
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,strong,6,0.9843231477142858,0.021775369682615967
PARTICIPANT_kura-B1_2020-09-07_11h57.44.574.csv,strong,0,0.9008448250333333,0.22078876450679855
PARTICIPANT_kura-B1_2020-09-07_11h57.44.574.csv,strong,1,0.9637765117000001,0.1107471793190775
PARTICIPANT_kura-B1_2020-09-07_11h57.44.574.csv,strong,2,0.9905613966666668,0.03867418305396961
PARTICIPANT_kura-B1_2020-09-07_11h57.44.574.csv,strong,3,0.9960322869,0.04858469977628412
PARTICIPANT_kura-B1_2020-09-07_11h57.44.574.csv,strong,4,0.9993009849000001,0.04026467946440368
PARTICIPANT_kura-B1_2020-09-07_11h57.44.574.csv,strong,5,1.0088359772,0.03763469775765812
PARTICIPANT_kura-B1_2020-09-07_11h57.44.574.csv,strong,6,0.9702759532,0.03047315203517803
PARTICIPANT_kura-B1_2020-09-10_21h13.09.622.csv,strong,0,0.9823999625,0.1360257197554206
PARTICIPANT_kura-B1_2020-09-10_21h13.09.622.csv,strong,1,0.9952461719666668,0.07621331351858135
PARTICIPANT_kura-B1_2020-09-10_21h13.09.622.csv,strong,2,1.0005573280666666,0.08497563784009676
PARTICIPANT_kura-B1_2020-09-10_21h13.09.622.csv,strong,3,1.0131706916666667,0.0973352718595052
PARTICIPANT_kura-B1_2020-09-10_21h13.09.622.csv,strong,4,0.9983894822,0.09285354928040854
PARTICIPANT_kura-B1_2020-09-10_21h13.09.622.csv,strong,5,1.0129723389333332,0.07036425507675298
PARTICIPANT_kura-B1_2020-09-10_21h13.09.622.csv,strong,6,1.0482738594285714,0.07394785099807119
PARTICIPANT_kura-B1_2020-09-18_23h19.34.883.csv,strong,0,0.9644914250333335,0.0992742121034582
PARTICIPANT_kura-B1_2020-09-18_23h19.34.883.csv,strong,1,0.9754648189666668,0.11935391912138454
PARTICIPANT_kura-B1_2020-09-18_23h19.34.883.csv,strong,2,0.9905868605,0.07790561608111683
PARTICIPANT_kura-B1_2020-09-18_23h19.34.883.csv,strong,3,0.9991232391333333,0.04204693919784611
PARTICIPANT_kura-B1_2020-09-18_23h19.34.883.csv,strong,4,0.9901871217,0.04510072149913748
PARTICIPANT_kura-B1_2020-09-18_23h19.34.883.csv,strong,5,0.9982199571666668,0.03542137447875405
PARTICIPANT_kura-B1_2020-09-18_23h19.34.883.csv,strong,6,0.9958611323749998,0.03169656909257351
PARTICIPANT_kura-B1_2020-10-05_07h34.10.665.csv,strong,0,0.9210920269666667,0.19732900381498159
PARTICIPANT_kura-B1_2020-10-05_07h34.10.665.csv,strong,1,0.9946106664000001,0.07038821973214826
PARTICIPANT_kura-B1_2020-10-05_07h34.10.665.csv,strong,2,0.9923719550333332,0.06899521246291596
PARTICIPANT_kura-B1_2020-10-05_07h34.10.665.csv,strong,3,1.0074671225333334,0.06614997771775571
PARTICIPANT_kura-B1_2020-10-05_07h34.10.665.csv,strong,4,0.9854590363000001,0.04993715894058257
PARTICIPANT_kura-B1_2020-10-05_07h34.10.665.csv,strong,5,1.0054859761000001,0.06743395929744478
PARTICIPANT_kura-B1_2020-10-05_07h34.10.665.csv,strong,6,1.0064752058,0.06250969390934438
PARTICIPANT_kura-B1_2020-10-05_08h31.10.554.csv,strong,0,0.8919858332333331,0.18836034137177843
PARTICIPANT_kura-B1_2020-10-05_08h31.10.554.csv,strong,1,1.0528825554999999,0.18040756434763577
PARTICIPANT_kura-B1_2020-10-05_08h31.10.554.csv,strong,2,0.998159,0.04488483563118941
PARTICIPANT_kura-B1_2020-10-05_08h31.10.554.csv,strong,3,0.9960983889000001,0.05996010279566358
PARTICIPANT_kura-B1_2020-10-05_08h31.10.554.csv,strong,4,1.0048339444666667,0.06455374801805194
PARTICIPANT_kura-B1_2020-10-05_08h31.10.554.csv,strong,5,0.9984570555333331,0.06188819827695629
PARTICIPANT_kura-B1_2020-10-05_08h31.10.554.csv,strong,6,1.0013314583750001,0.05081350740071707
PARTICIPANT_kura-B1_2020-10-05_09h20.02.892.csv,strong,0,0.9109380897666666,0.22143739437565957
PARTICIPANT_kura-B1_2020-10-05_09h20.02.892.csv,strong,1,1.0068217202333334,0.056830309935072904
PARTICIPANT_kura-B1_2020-10-05_09h20.02.892.csv,strong,2,0.9954319674666667,0.04184735712696901
PARTICIPANT_kura-B1_2020-10-05_09h20.02.892.csv,strong,3,0.9924981005333335,0.03953755883289987
PARTICIPANT_kura-B1_2020-10-05_09h20.02.892.csv,strong,4,1.0572022367333331,0.2210830624725401
PARTICIPANT_kura-B1_2020-10-05_09h20.02.892.csv,strong,5,0.9635299938999998,0.13064562450247752
PARTICIPANT_kura-B1_2020-10-05_09h20.02.892.csv,strong,6,0.9948171283999999,0.061559345410614044
PARTICIPANT_kura-B2_2020-08-13_23h21.57.157.csv,strong,0,0.8927833480666666,0.1014528120205637
PARTICIPANT_kura-B2_2020-08-13_23h21.57.157.csv,strong,1,0.9917705883666666,0.052389279703625974
PARTICIPANT_kura-B2_2020-08-13_23h21.57.157.csv,strong,2,0.9927412675333332,0.04157830264870105
PARTICIPANT_kura-B2_2020-08-13_23h21.57.157.csv,strong,3,1.0001337803333332,0.03461226738019217
PARTICIPANT_kura-B2_2020-08-13_23h21.57.157.csv,strong,4,1.0063755603333335,0.04204898175206909
PARTICIPANT_kura-B2_2020-08-13_23h21.57.157.csv,strong,5,0.9983188341333332,0.028352851575947198
PARTICIPANT_kura-B2_2020-08-13_23h21.57.157.csv,strong,6,0.9895683167,0.03177798001648182
PARTICIPANT_kura-B2_2020-09-07_08h44.56.737.csv,strong,0,0.9159258830333332,0.16068875395777363
PARTICIPANT_kura-B2_2020-09-07_08h44.56.737.csv,strong,1,0.9827076406,0.09287954398112482
PARTICIPANT_kura-B2_2020-09-07_08h44.56.737.csv,strong,2,0.9903001781333335,0.08899888453036174
PARTICIPANT_kura-B2_2020-09-07_08h44.56.737.csv,strong,3,0.9947552173,0.09413557405035236
PARTICIPANT_kura-B2_2020-09-07_08h44.56.737.csv,strong,4,0.9833548088999999,0.03493269399984926
PARTICIPANT_kura-B2_2020-09-07_08h44.56.737.csv,strong,5,0.9923871391666667,0.07059303369060661
PARTICIPANT_kura-B2_2020-09-07_08h44.56.737.csv,strong,6,1.0518812268888889,0.07677413061532769
PARTICIPANT_kura-B2_2020-09-13_16h50.25.586.csv,strong,0,0.9395377339,0.1461147726463393
PARTICIPANT_kura-B2_2020-09-13_16h50.25.586.csv,strong,1,0.9929751677666668,0.044142630493396645
PARTICIPANT_kura-B2_2020-09-13_16h50.25.586.csv,strong,2,0.9972860239333333,0.036708454234595636
PARTICIPANT_kura-B2_2020-09-13_16h50.25.586.csv,strong,3,0.9953319319333331,0.04996116408303378
PARTICIPANT_kura-B2_2020-09-13_16h50.25.586.csv,strong,4,1.0003104536,0.04045165512019243
PARTICIPANT_kura-B2_2020-09-13_16h50.25.586.csv,strong,5,0.9958983489000001,0.026520659183771667
PARTICIPANT_kura-B2_2020-09-13_16h50.25.586.csv,strong,6,1.0181393385000002,0.02585390076417904
PARTICIPANT_kura-B2_2020-09-14_22h18.47.480.csv,strong,0,0.9368962680333333,0.17363601668186007
PARTICIPANT_kura-B2_2020-09-14_22h18.47.480.csv,strong,1,0.9945799705666668,0.06870769486170777
PARTICIPANT_kura-B2_2020-09-14_22h18.47.480.csv,strong,2,0.9908842097333331,0.055438916628093166
PARTICIPANT_kura-B2_2020-09-14_22h18.47.480.csv,strong,3,0.9999685308333333,0.05259309136112923
PARTICIPANT_kura-B2_2020-09-14_22h18.47.480.csv,strong,4,1.0072763778,0.06102310519859004
PARTICIPANT_kura-B2_2020-09-14_22h18.47.480.csv,strong,5,1.0040092584000002,0.051548720133262074
PARTICIPANT_kura-B2_2020-09-14_22h18.47.480.csv,strong,6,0.9774464608999999,0.030759528023010355
PARTICIPANT_kura-B2_2020-09-16_12h17.20.371.csv,strong,0,0.9486090135333335,0.1632911836519881
PARTICIPANT_kura-B2_2020-09-16_12h17.20.371.csv,strong,1,0.980312237,0.07996085216818483
PARTICIPANT_kura-B2_2020-09-16_12h17.20.371.csv,strong,2,1.0075702823,0.08140189780922519
PARTICIPANT_kura-B2_2020-09-16_12h17.20.371.csv,strong,3,0.9943468594666668,0.07856746203416864
PARTICIPANT_kura-B2_2020-09-16_12h17.20.371.csv,strong,4,0.9974530982666666,0.06938241681462246
PARTICIPANT_kura-B2_2020-09-16_12h17.20.371.csv,strong,5,0.9871910306,0.09561855977203058
PARTICIPANT_kura-B2_2020-09-16_12h17.20.371.csv,strong,6,1.0067574041,0.08524763169087153
PARTICIPANT_kura-B2_2020-09-16_13h54.10.653.csv,strong,0,1.0047338744666667,0.08964470905662368
PARTICIPANT_kura-B2_2020-09-16_13h54.10.653.csv,strong,1,0.9982696757999999,0.0437596830225749
PARTICIPANT_kura-B2_2020-09-16_13h54.10.653.csv,strong,2,1.000187980566667,0.047492847758280124
PARTICIPANT_kura-B2_2020-09-16_13h54.10.653.csv,strong,3,0.9923268456333333,0.04399643258722
PARTICIPANT_kura-B2_2020-09-16_13h54.10.653.csv,strong,4,1.0099823941666666,0.0536968038367462
PARTICIPANT_kura-B2_2020-09-16_13h54.10.653.csv,strong,5,0.9986650163076922,0.04163572244385028
PARTICIPANT_kura-B2_2020-09-16_13h54.10.653.csv,strong,6,1.0090478415000002,0.047887991500000004
PARTICIPANT_kura-B2_2020-09-21_10h01.20.704.csv,strong,0,0.9318811000666666,0.1464085768669088
PARTICIPANT_kura-B2_2020-09-21_10h01.20.704.csv,strong,1,1.0057901552666666,0.051146160774094035
PARTICIPANT_kura-B2_2020-09-21_10h01.20.704.csv,strong,2,0.9909295086666664,0.041283344534064896
PARTICIPANT_kura-B2_2020-09-21_10h01.20.704.csv,strong,3,1.0017550754999998,0.042071189278669846
PARTICIPANT_kura-B2_2020-09-21_10h01.20.704.csv,strong,4,0.9944334638999999,0.05658968301432
PARTICIPANT_kura-B2_2020-09-21_10h01.20.704.csv,strong,5,0.9989972577857141,0.059055283059990346
PARTICIPANT_kura-B2_2020-09-21_10h01.20.704.csv,strong,6,1.0391289646666666,0.028605421311388223
aa_kura-A1_2020-08-08_23h03.30.895.csv,strong,0,0.9419208352999998,0.1608088973179104
aa_kura-A1_2020-08-08_23h03.30.895.csv,strong,1,0.9970098405666665,0.03565569624871945
aa_kura-A1_2020-08-08_23h03.30.895.csv,strong,2,0.9975122141333335,0.03127410331730298
aa_kura-A1_2020-08-08_23h03.30.895.csv,strong,3,1.0006805783666666,0.04090923898343029
aa_kura-A1_2020-08-08_23h03.30.895.csv,strong,4,0.9967858172,0.03790000009264181
aa_kura-A1_2020-08-08_23h03.30.895.csv,strong,5,1.0072211383666665,0.03930884646641849
aa_kura-A1_2020-08-08_23h03.30.895.csv,strong,6,0.9908190474999999,0.027946627393500376
PARTICIPANT_kura-A1_2020-10-01_08h10.36.781.csv,medium,0,0.9609676548666665,0.23031623071917062
PARTICIPANT_kura-A1_2020-10-01_08h10.36.781.csv,medium,1,0.9649355538666665,0.0846856199113004
PARTICIPANT_kura-A1_2020-10-01_08h10.36.781.csv,medium,2,0.9728813314666667,0.06772214589729167
PARTICIPANT_kura-A1_2020-10-01_08h10.36.781.csv,medium,3,1.0042625347666667,0.05760854338078992
PARTICIPANT_kura-A1_2020-10-01_08h10.36.781.csv,medium,4,1.0032391605666666,0.09539549326508359
PARTICIPANT_kura-A1_2020-10-01_08h10.36.781.csv,medium,5,1.0199286171724138,0.09609124567270226
PARTICIPANT_kura-A1_2020-10-01_08h10.36.781.csv,medium,6,1.0205126603333332,0.10074828191918632
PARTICIPANT_kura-A1_2020-10-05_06h11.14.448.csv,medium,0,1.0486283766,0.436523516841649
PARTICIPANT_kura-A1_2020-10-05_06h11.14.448.csv,medium,1,1.0793369746999997,0.4637954993469631
PARTICIPANT_kura-A1_2020-10-05_06h11.14.448.csv,medium,2,1.002201261966667,0.1876233955087764
PARTICIPANT_kura-A1_2020-10-05_06h11.14.448.csv,medium,3,0.9857103744827588,0.18037926617367597
PARTICIPANT_kura-A1_2020-10-05_06h11.14.448.csv,medium,4,0.9501579074074072,0.12859794445412656
PARTICIPANT_kura-A1_2020-10-05_06h11.14.448.csv,medium,5,0.9673377874615384,0.2010469946832885
PARTICIPANT_kura-A1_2020-10-05_06h11.14.448.csv,medium,6,0.9754184056666667,0.05633094206452236
PARTICIPANT_kura-A2_2020-08-28_09h24.01.653.csv,medium,0,0.9608323333333332,0.16275720834945234
PARTICIPANT_kura-A2_2020-08-28_09h24.01.653.csv,medium,1,0.9401167777999999,0.13689731808990022
PARTICIPANT_kura-A2_2020-08-28_09h24.01.653.csv,medium,2,0.9658270555666667,0.13356655253446809
PARTICIPANT_kura-A2_2020-08-28_09h24.01.653.csv,medium,3,0.9816909444666666,0.09420834578214543
PARTICIPANT_kura-A2_2020-08-28_09h24.01.653.csv,medium,4,1.0008297222666667,0.101310918198876
PARTICIPANT_kura-A2_2020-08-28_09h24.01.653.csv,medium,5,0.9893848333000002,0.11603982229650968
PARTICIPANT_kura-A2_2020-08-28_09h24.01.653.csv,medium,6,0.9745669047142859,0.05924617821456154
PARTICIPANT_kura-A2_2020-09-07_10h21.43.606.csv,medium,0,0.8060771700689656,0.20824081089711105
PARTICIPANT_kura-A2_2020-09-07_10h21.43.606.csv,medium,1,0.9340132113076923,0.2461819509018198
PARTICIPANT_kura-A2_2020-09-07_10h21.43.606.csv,medium,2,0.9201748469583335,0.21429392418860835
PARTICIPANT_kura-A2_2020-09-07_10h21.43.606.csv,medium,3,0.9198376482499998,0.21706500558714636
PARTICIPANT_kura-A2_2020-09-07_10h21.43.606.csv,medium,4,0.9207104732916668,0.24020489686893412
PARTICIPANT_kura-A2_2020-09-07_10h21.43.606.csv,medium,5,0.9130048166190476,0.2564785465030124
PARTICIPANT_kura-A2_2020-09-07_10h21.43.606.csv,medium,6,0.8838952750000001,0.2506311250388166
PARTICIPANT_kura-A2_2020-09-07_11h08.21.418.csv,medium,0,0.9701470419333332,0.22422533858961496
PARTICIPANT_kura-A2_2020-09-07_11h08.21.418.csv,medium,1,0.9891956010999999,0.07815715409270188
PARTICIPANT_kura-A2_2020-09-07_11h08.21.418.csv,medium,2,1.0135447943666667,0.08090458689060884
PARTICIPANT_kura-A2_2020-09-07_11h08.21.418.csv,medium,3,0.9922216824999999,0.05419274726453718
PARTICIPANT_kura-A2_2020-09-07_11h08.21.418.csv,medium,4,0.9773265077407409,0.054768206617941795
PARTICIPANT_kura-A2_2020-09-07_11h08.21.418.csv,medium,5,1.0161644463809525,0.05548443488993258
PARTICIPANT_kura-A2_2020-09-07_11h08.21.418.csv,medium,6,1.0041690769999998,0.03705022140877938
PARTICIPANT_kura-A2_2020-09-16_12h19.57.327.csv,medium,0,0.9276828141666669,0.7877753886311356
PARTICIPANT_kura-A2_2020-09-16_12h19.57.327.csv,medium,1,0.8664884658666666,0.2522490847048608
PARTICIPANT_kura-A2_2020-09-16_12h19.57.327.csv,medium,2,0.8237207797333334,0.3234516058623811
PARTICIPANT_kura-A2_2020-09-16_12h19.57.327.csv,medium,3,0.7839940321071427,0.3003908085254154
PARTICIPANT_kura-A2_2020-09-16_12h19.57.327.csv,medium,4,0.7399450080400001,0.2752704540095445
PARTICIPANT_kura-A2_2020-09-16_12h19.57.327.csv,medium,5,0.6939213633913044,0.33346591598769615
PARTICIPANT_kura-A2_2020-09-16_12h19.57.327.csv,medium,6,0.5800680225714286,0.33699247909534924
PARTICIPANT_kura-A2_2020-09-16_12h21.37.513.csv,medium,0,0.8872825523000001,0.18185527574692703
PARTICIPANT_kura-A2_2020-09-16_12h21.37.513.csv,medium,1,0.9192438874666669,0.20846867058835042
PARTICIPANT_kura-A2_2020-09-16_12h21.37.513.csv,medium,2,0.7930978791666669,0.33791757449624493
PARTICIPANT_kura-A2_2020-09-16_12h21.37.513.csv,medium,3,0.8037020013666665,0.3387485508075478
PARTICIPANT_kura-A2_2020-09-16_12h21.37.513.csv,medium,4,0.8952277306333334,0.28595693113691945
PARTICIPANT_kura-A2_2020-09-16_12h21.37.513.csv,medium,5,0.8391330935999999,0.31204097324968033
PARTICIPANT_kura-A2_2020-09-16_12h21.37.513.csv,medium,6,0.7198436342000001,0.3765710048801922
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,medium,0,1.2438617142857142,1.0851142528024138
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,medium,1,1.0728275505555556,0.18465734201356415
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,medium,2,1.0155252058148148,0.07987903482815106
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,medium,3,1.0003610771851852,0.05761650673660615
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,medium,4,0.9929829462307693,0.07271546888446861
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,medium,5,0.9992072775652174,0.04393532037021277
PARTICIPANT_kura-A2_2020-09-16_13h15.20.738.csv,medium,6,1.0354373096666667,0.05993317240381488
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,medium,0,1.1338630822666669,0.7121367770975923
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,medium,1,1.0065585984,0.07138032602263229
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,medium,2,0.9935452924333333,0.06735671441105014
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,medium,3,0.9964138450666665,0.06212284008569048
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,medium,4,0.9881811907037039,0.04863469205660157
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,medium,5,0.9775387828333333,0.07871842979069069
PARTICIPANT_kura-A2_2020-09-18_08h50.45.006.csv,medium,6,nan,nan
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,medium,0,0.9374571407999999,0.17428144342270477
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,medium,1,0.9665174544,0.10836504759890046
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,medium,2,0.9835408661666668,0.09102759320126405
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,medium,3,0.9871533441999999,0.08409900923058766
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,medium,4,0.9832357738666667,0.10147885147270105
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,medium,5,0.9909347044285713,0.07241501294034522
PARTICIPANT_kura-A2_2020-11-06_20h46.36.344.csv,medium,6,1.05519855,0.0
