subject,condition,section,mx,sx
FF_rev-kura_tap_2blocks_2019_Jul_23_1350.csv,medium,2,0.9799324069885487,0.03521909240631354
HH_rev-kura_tap_2blocks_2019_Jul_23_1509.csv,medium,0,0.28646365467398066,0.14103255103657736
HH_rev-kura_tap_2blocks_2019_Jul_23_1509.csv,medium,1,0.24984417559674232,0.05803033670217066
HH_rev-kura_tap_2blocks_2019_Jul_23_1509.csv,medium,2,0.2709587888125182,0.062083105616500406
CC_rev-kura_tap_2blocks_2019_Jul_22_1529.csv,medium,0,0.9772736367239686,0.1412507078217591
CC_rev-kura_tap_2blocks_2019_Jul_22_1529.csv,medium,1,0.994336353509029,0.054616957992825475
CC_rev-kura_tap_2blocks_2019_Jul_22_1529.csv,medium,2,0.9854304596206737,0.04015326600558197
DD_rev-kura_tap_2blocks_2019_Jul_23_1227.csv,medium,0,0.9641146337567703,0.1127341690588067
DD_rev-kura_tap_2blocks_2019_Jul_23_1227.csv,medium,1,0.9808452941908072,0.0466175199896928
DD_rev-kura_tap_2blocks_2019_Jul_23_1227.csv,medium,2,1.2203125603546612,1.201948939596848
EE_rev-kura_tap_2blocks_2019_Jul_23_1310.csv,weak,0,1.001965936984757,0.4187166341739599
EE_rev-kura_tap_2blocks_2019_Jul_23_1310.csv,weak,1,0.9756116563347496,0.20120721707288325
EE_rev-kura_tap_2blocks_2019_Jul_23_1310.csv,weak,2,0.9450582586461278,0.24821395564416257
AA_rev-kura_tap_2blocks_2019_Jul_19_1554.csv,weak,0,0.3636103031635675,0.170311130441694
AA_rev-kura_tap_2blocks_2019_Jul_19_1554.csv,weak,1,0.2860514868604322,0.07679028787450672
AA_rev-kura_tap_2blocks_2019_Jul_19_1554.csv,weak,2,0.27048087549926636,0.03976131255589128
GG_rev-kura_tap_2blocks_2019_Jul_23_1421.csv,weak,0,1.1043602883134898,0.2983330091343466
GG_rev-kura_tap_2blocks_2019_Jul_23_1421.csv,weak,1,1.0781484277165883,0.289376373570499
