sndfile,tempo,cond,delay,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate
./stimuli_1/tmp/vweak_105_2.wav,105,veryweak,1.145015037,,,,,0,3,3,9,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.7698165649781004, 1.335723494994454, 1.970677084987983, 2.658073458005674, 3.3528154169907793, 3.941482151974924, 4.569457844947465, 5.192598551977426, 5.803618586040102, 6.453854682971723, 7.1209172799717635, 7.746731710038148, 8.403712362982333, 9.037407006020658, 9.67094556405209]",space,0.418450934,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/weak_90_2.wav,90,weak,2.03843752,,,,,0,4,4,23,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.18353209597989917, 0.6022232519462705, 1.2019677489297464, 1.7568628400331363, 2.4018593709915876, 3.086008645943366, 3.702848967979662, 4.345702869002707, 5.018457619938999, 5.669906308990903, 6.291869741980918, 6.951027223025449, 7.619371637934819, 8.286441633012146, 8.907937459996901, 9.55288513598498, 10.202955910935998]",space,0.604691174,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/medium_110_2.wav,110,medium,1.962096671,,,,,0,5,5,12,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.26924024103209376, 0.79141454200726, 1.235787756042555, 1.9021737630246207, 2.534312515053898, 3.237695842050016, 3.794105369015597, 4.369782675988972, 4.920181130059063, 5.5036837880034, 6.053264077054337, 6.653636367991567, 7.203227685997263, 7.836921931011602, 8.47106591204647, 9.070780563983135, 9.670678331051022]",space,0.386294897,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/vweak_110_1.wav,110,veryweak,1.340718613,,,,,0,6,6,32,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.2238147919997573, 0.7355182209284976, 1.2913014449877664, 1.9198615839704871, 2.4689703789772466, 3.0365693389903754, 3.6690745999803767, 4.301782929920591, 4.869855500990525, 5.534174894914031, 6.144710175925866, 6.802597410976887, 7.436839492991567, 8.037083392962813, 8.703650254989043, 9.260217444971204, 9.870335435960442]",space,0.52003742,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/weak_95_1.wav,95,weak,1.972648126,,,,,0,7,7,43,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.39982656098436564, 0.9683714660350233, 1.5859139940002933, 2.285909414058551, 2.9557221779832616, 3.6863782780710608, 4.3083733280655, 4.98474729899317, 5.686066183028743, 6.32512160600163, 6.984828721964732, 7.637015640968457, 8.287001144024543, 8.986983221024275, 9.670145930023864]",space,0.342203778,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/perfect_105_1.wav,105,perfect,1.61271141,,,,,0,8,8,13,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.1849599559791386, 1.001763375941664, 1.5350209400057793, 2.0849956260062754, 2.6358413039706647, 3.1856602940242738, 3.7703548489371315, 4.353425211971626, 4.90247161698062, 5.459726843982935, 6.0205145250074565, 6.552805947023444, 7.150823096977547, 7.7365225970279425, 8.324608281021938, 8.887319740024395]",space,0.761321748,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/medium_105_2.wav,105,medium,0.882509757,,,,,0,9,9,17,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.25326035695616156, 0.6351278909714893, 1.1027760439319536, 1.6846722270129248, 2.307658312958665, 2.968682173988782, 3.5702531340066344, 4.136765481904149, 4.669073454919271, 5.284644727944396, 5.812645761994645, 6.387275781948119, 7.003811975009739, 7.620319815934636, 8.353525228914805, 9.084934780956246, 9.742048056912608]",space,0.527688116,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/perfect_90_1.wav,90,perfect,0.87905892,,,,,0,10,10,39,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.6199830969562754, 1.0692671389551833, 1.7358068969333544, 2.4222790689673275, 3.0860880609834567, 3.7192929439479485, 4.386007185908966, 5.053000802989118, 5.703296846942976, 6.352720467955805, 7.012297875946388, 7.67000103299506, 8.319880259921774, 8.986540518933907, 9.62070408789441, 10.304060018970631]",space,14.63368447,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/weak_110_2.wav,110,weak,1.145048959,,,,,0,11,11,0,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.3092720489948988, 0.7855946540366858, 1.2526327560190111, 1.726140588056296, 2.2190689580747858, 2.688857896020636, 3.136210989090614, 3.6180570640135556, 4.1029231320135295, 4.586170386057347, 5.119933158042841, 5.586065523093566, 6.585839658044279, 7.120244582067244, 7.602838827064261, 8.137403762084432, 8.620173767092638, 9.053408092004247, 9.552630612044595, 10.054087631055154]",space,0.389883623,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/medium_105_1.wav,105,medium,1.666398533,,,,,0,12,12,21,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.21877203893382102, 0.5026839169440791, 1.1197526960168034, 1.7699428600026295, 2.336014508968219, 2.9363944940268993, 3.485834060003981, 4.052998285973445, 4.652803940931335, 5.236628517974168, 5.770059003960341, 6.337149200029671, 6.920056600938551, 7.519568871939555, 8.087163005024195, 8.651924600009806, 9.244146827957593, 9.820996169932187]",space,0.807338241,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/weak_95_2.wav,95,weak,1.339165335,,,,,0,13,13,38,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.20184984197840095, 0.6878218490164727, 1.3190076779574156, 2.1073295150417835, 2.819759689969942, 3.502282381989062, 4.218622411950491, 4.919132594019175, 5.60365098703187, 6.301950698951259, 7.069137881044298, 7.819699606974609, 8.502757112961262, 9.186679715989158, 9.83653593098279]",space,0.302655718,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/medium_95_1.wav,95,medium,1.37062158,,,,,0,14,14,19,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.13582413794938475, 0.7727337538963184, 1.5516413969453424, 2.2691025629173964, 2.936037214938551, 3.601675202953629, 4.303335371892899, 4.9694725149311125, 5.6583908119937405, 6.319224408944137, 7.024619603995234, 7.686235570930876, 8.42054120299872, 9.087239319924265, 9.753882949938998]",space,0.436004901,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/vweak_95_1.wav,95,veryweak,2.279644213,,,,,0,15,15,24,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.9512329149292782, 1.5523823340190575, 2.1519869660260156, 2.752658900921233, 3.318784805946052, 4.486117620021105, 5.136161176022142, 5.769553457968868, 6.36929504701402, 6.9869264389853925, 7.586207801941782, 8.219413832994178, 8.83689953701105, 9.426728962920606, 10.07022261491511]",space,0.335718612,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/vweak_110_2.wav,110,veryweak,1.237556465,,,,,0,16,16,28,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.20295014092698693, 0.6530536130303517, 0.950795223005116, 1.2857828210107982, 1.636681973002851, 2.0196810649940744, 2.4196493219351396, 2.7867256850004196, 3.13645969692152, 3.535104608978145, 3.878003606921993, 4.1531662489287555, 4.653385409968905, 5.037349954014644, 5.339141643955372, 5.653720657923259, 5.95419033698272, 6.2536086769541726, 6.652731179958209, 7.286426045931876, 7.979183839983307, 8.535368520999327, 9.02689463691786, 9.621145009994507]",space,0.457273183,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
